Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Junior,1,227529,Giel,Lejeune,,0:38:30,,271.99402520547,242.93882204292,
Men Junior,2,218910,Keano,Geens,,0:39:22,,273.02120892951,248.71433013188,
Men Junior,3,223287,Ryan,Laenen,,0:39:35,,301.99375191808,254.48983822083,
Men Junior,4,218286,Lennes,Jacobs,,0:39:48,,282.41617577447,260.26534630979,
Men Junior,5,218916,Stan,Van looy,,0:39:57,,333.88596460046,266.04085439875,
Men Junior,6,220817,Mathias,De keersmaeker,,0:40:04,,302.40637931593,271.81636248771,
Men Junior,7,227530,Arthur,Janssens,,0:40:15,,304.14465631795,277.59187057667,
Men Junior,8,221695,Leander,De gendt,,0:40:28,,337.34239176939,283.36737866563,
Men Junior,9,218287,Xander,Danckaarts,,0:40:34,,308.00620246397,289.14288675458,
Men Junior,10,227535,Dima,Roels,,0:40:49,,344.57757199425,294.91839484354,
Men Junior,11,225591,Matteo,Vanden wijngaert,,0:41:32,,330.70379199401,300.6939029325,
Men Junior,12,222170,Stan,Deram,,0:42:00,,321.8962661066,306.46941102146,
Men Junior,13,227556,Luca,Renders,,0:42:11,,371.9661524612,312.24491911042,
Men Junior,14,218922,Vince,Ivens,,0:42:15,,381.34645688807,318.02042719938,
Men Junior,15,232792,Dani,Maenen,,0:43:00,,320.02868363641,323.79593528833,
Men Junior,16,227534,Joachim,Luijendijk,,0:43:04,,393.27758580386,329.57144337729,
Men Junior,17,230095,Sebastiaan,Goossenaerts,,0:43:06,,354.42666929356,335.34695146625,
Men Junior,18,227536,Len,Geerts,,0:43:06,,351.70511279769,341.12245955521,
Men Junior,19,225563,Yoram,Knaepen,,0:43:11,,380.85451797223,346.89796764417,
Men Junior,20,227544,Maike,Tazelaar,,0:43:32,,360.8399826447,352.67347573313,
Men Junior,21,230020,Matse,Leys,,0:43:45,,342.78646795857,358.44898382208,
Men Junior,22,227379,Matteo,Declercq,,0:43:58,,352.65210069324,364.22449191104,
Men Junior,23,231690,Myrddin,De corte,,0:43:59,,363.65453141035,370,
Men Junior,24,230091,Roan,Dresselaers,,0:44:20,,361.58780184571,375.77550808896,
Men Junior,25,222176,Josse,Jacobs,,0:44:41,,378.58004308026,381.55101617792,
Men Junior,26,220822,Axel,Schepens,,0:44:46,,402.58161948162,387.32652426687,
Men Junior,27,233416,Rune,De zutter,,0:44:48,,370,393.10203235583,
Men Junior,28,231700,Mathis,Richez,,0:45:11,,426.68495311725,398.87754044479,
Men Junior,29,230093,Daan,Urkens,,0:45:15,,421.59633826726,404.65304853375,
Men Junior,30,230098,Lander,Hulsmans,,0:45:17,,445.15939332829,410.42855662271,
Men Junior,31,218949,Seppe,Vanhout,,0:45:34,,417.41031537564,416.20406471167,
Men Junior,32,220821,Arne,Parthoens,,0:45:36,,385.91319849621,421.97957280062,
Men Junior,33,218305,Jetze,Beets,,0:46:00,,429.21319968804,427.75508088958,
Men Junior,34,227558,Jonas,Vermiert,,-1 LAP,,407.12827695421,433.53058897854,
